country,points,price,province,variety
US,88,14,California,Pinot Noir
France,88,14,Provence,Rosé
US,84,12,California,Pinot Noir
France,84,12,France Other,Pinot Noir
Argentina,83,14,Other,Pinot Noir
US,88,55,California,Pinot Noir
US,91,45,California,Pinot Noir
France,85,14,Burgundy,Pinot Noir
France,87,35,Burgundy,Pinot Noir
US,86,42,Oregon,Pinot Noir
US,90,38,California,Chardonnay
Argentina,88,25,Mendoza Province,Chardonnay
US,86,125,California,Cabernet Sauvignon
US,90,95,California,Cabernet Sauvignon
France,90,80,Burgundy,Pinot Noir
US,87,65,California,Cabernet Sauvignon
France,90,26,Burgundy,Chardonnay
France,87,25,Burgundy,Chardonnay
France,91,90,Burgundy,Pinot Noir
US,81,25,California,Chardonnay
US,91,25,California,Rosé
US,91,42,Oregon,Pinot Noir
US,91,125,California,Cabernet Sauvignon
US,86,40,California,Pinot Noir
US,92,60,California,Pinot Noir
US,88,30,California,Pinot Noir
US,87,30,California,Pinot Noir
France,87,12,Languedoc-Roussillon,Chardonnay
Italy,93,40,Tuscany,Cabernet Sauvignon
US,87,30,California,Cabernet Sauvignon
US,89,45,California,Chardonnay
US,93,145,California,Cabernet Sauvignon
US,88,42,California,Pinot Noir
US,88,55,California,Pinot Noir
US,90,34,California,Chardonnay
France,87,15,Languedoc-Roussillon,Rosé
US,87,44,California,Pinot Noir
US,88,28,Washington,Chardonnay
Argentina,88,20,Mendoza Province,Cabernet Sauvignon
US,93,29,California,Pinot Noir
US,86,34,California,Cabernet Sauvignon
US,89,45,California,Cabernet Sauvignon
US,92,35,Oregon,Chardonnay
France,87,13,Rhône Valley,Rosé
US,92,39,California,Chardonnay
US,91,35,California,Chardonnay
US,82,25,New York,Pinot Noir
US,90,55,Oregon,Pinot Noir
US,89,40,California,Pinot Noir
US,90,36,California,Chardonnay
US,88,36,California,Chardonnay
US,90,42,California,Pinot Noir
Argentina,87,32,Mendoza Province,Cabernet Sauvignon
Chile,90,20,Colchagua Valley,Cabernet Sauvignon
Chile,85,14,Casablanca Valley,Chardonnay
US,87,75,California,Pinot Noir
US,86,20,Oregon,Pinot Noir
France,89,56,Burgundy,Chardonnay
US,88,26,Oregon,Pinot Noir
US,83,13,California,Cabernet Sauvignon
US,85,17,California,Chardonnay
US,95,48,California,Pinot Noir
US,89,30,California,Cabernet Sauvignon
US,94,44,California,Pinot Noir
France,87,18,Burgundy,Chardonnay
US,92,44,California,Pinot Noir
US,86,26,California,Chardonnay
US,95,165,California,Cabernet Sauvignon
US,86,58,California,Cabernet Sauvignon
Chile,88,20,Casablanca Valley,Pinot Noir
US,91,100,California,Cabernet Sauvignon
US,86,20,Oregon,Rosé
US,91,36,California,Pinot Noir
US,84,20,California,Cabernet Sauvignon
US,91,44,Oregon,Cabernet Sauvignon
US,84,18,California,Pinot Noir
US,91,55,Oregon,Pinot Noir
US,94,125,California,Cabernet Sauvignon
US,93,60,California,Cabernet Sauvignon
France,93,72,Burgundy,Pinot Noir
US,91,32,Washington,Cabernet Sauvignon
US,85,12,California,Chardonnay
US,90,58,California,Pinot Noir
France,88,35,Burgundy,Chardonnay
US,85,48,California,Pinot Noir
US,92,50,California,Pinot Noir
US,91,65,California,Pinot Noir
US,88,23,California,Chardonnay
US,92,36,Oregon,Pinot Noir
US,94,70,California,Chardonnay
US,90,25,Washington,Rosé
US,88,22,Oregon,Chardonnay
Chile,84,10,Central Valley,Chardonnay
US,88,22,California,Chardonnay
US,88,18,Oregon,Pinot Noir
US,91,55,California,Chardonnay
France,91,79,Burgundy,Pinot Noir
US,94,80,California,Cabernet Sauvignon
France,83,10,France Other,Rosé
France,86,23,Burgundy,Chardonnay
US,88,12,Washington,Rosé
France,89,16,Provence,Rosé
US,87,50,California,Pinot Noir
US,90,20,California,Pinot Noir
US,93,40,California,Pinot Noir
US,86,17,California,Pinot Noir
US,91,49,California,Pinot Noir
France,85,27,Burgundy,Chardonnay
US,92,42,California,Pinot Noir
US,85,12,California,Pinot Noir
US,92,48,California,Pinot Noir
France,89,46,Provence,Rosé
US,91,45,California,Chardonnay
Italy,91,40,Tuscany,Cabernet Sauvignon
US,89,17,California,Cabernet Sauvignon
Chile,88,19,Curicó Valley,Cabernet Sauvignon
France,90,68,Burgundy,Pinot Noir
US,92,42,Washington,Cabernet Sauvignon
US,88,35,Oregon,Pinot Noir
US,91,40,Oregon,Chardonnay
US,91,60,California,Cabernet Sauvignon
US,87,50,Oregon,Pinot Noir
Chile,84,12,Maipo Valley,Pinot Noir
US,94,58,California,Chardonnay
US,88,25,California,Pinot Noir
US,87,18,California,Chardonnay
France,89,28,Burgundy,Pinot Noir
US,94,68,California,Pinot Noir
France,83,21,Burgundy,Chardonnay
France,89,56,Burgundy,Chardonnay
US,88,32,California,Pinot Noir
US,88,60,California,Pinot Noir
US,95,50,California,Chardonnay
Chile,85,12,Maule Valley,Cabernet Sauvignon
US,86,70,California,Cabernet Sauvignon
US,88,20,California,Chardonnay
US,92,39,California,Pinot Noir
US,92,45,Washington,Cabernet Sauvignon
Chile,87,16,Casablanca Valley,Pinot Noir
US,88,30,Washington,Cabernet Sauvignon
US,93,100,Oregon,Pinot Noir
Chile,89,20,Casablanca Valley,Pinot Noir
France,88,16,Bordeaux,Rosé
US,92,55,California,Cabernet Sauvignon
France,88,25,Burgundy,Pinot Noir
US,93,48,California,Pinot Noir
France,90,28,Burgundy,Chardonnay
France,92,32,Burgundy,Chardonnay
France,91,125,Bordeaux,Cabernet Sauvignon
US,87,20,California,Cabernet Sauvignon
US,90,75,California,Cabernet Sauvignon
US,89,35,New York,Chardonnay
US,87,60,California,Pinot Noir
US,91,28,Washington,Rosé
US,87,8,California,Chardonnay
US,90,25,California,Cabernet Sauvignon
US,89,27,California,Pinot Noir
US,85,36,California,Cabernet Sauvignon
France,94,117,Burgundy,Pinot Noir
France,88,19,Alsace,Pinot Noir
US,92,110,California,Cabernet Sauvignon
US,92,50,California,Pinot Noir
US,90,42,California,Chardonnay
Argentina,85,15,Other,Cabernet Sauvignon
US,88,50,Oregon,Pinot Noir
US,92,84,California,Cabernet Sauvignon
US,88,30,California,Pinot Noir
US,92,40,California,Pinot Noir
US,93,40,California,Pinot Noir
US,90,200,California,Cabernet Sauvignon
Chile,84,24,Casablanca Valley,Chardonnay
France,92,17,Rhône Valley,Rosé
France,90,80,Burgundy,Chardonnay
US,90,50,Oregon,Pinot Noir
US,85,23,California,Cabernet Sauvignon
US,90,34,California,Pinot Noir
US,85,45,Michigan,Pinot Noir
US,89,37,Washington,Cabernet Sauvignon
US,88,32,Washington,Cabernet Sauvignon
US,82,18,California,Cabernet Sauvignon
US,85,38,California,Chardonnay
US,90,20,Washington,Chardonnay
US,86,12,Washington,Chardonnay
US,88,44,California,Pinot Noir
US,94,100,California,Cabernet Sauvignon
US,87,24,California,Pinot Noir
France,92,43,Burgundy,Pinot Noir
US,84,54,California,Pinot Noir
US,90,75,Washington,Cabernet Sauvignon
US,91,19,California,Rosé
US,92,30,California,Cabernet Sauvignon
US,88,70,California,Pinot Noir
US,93,40,Oregon,Chardonnay
US,89,48,Oregon,Pinot Noir
US,93,80,California,Cabernet Sauvignon
France,87,16,France Other,Rosé
US,89,40,California,Pinot Noir
US,89,20,Oregon,Pinot Noir
US,89,25,California,Chardonnay
France,90,36,Burgundy,Chardonnay
US,91,26,California,Chardonnay
US,88,100,Oregon,Pinot Noir
US,90,65,Oregon,Pinot Noir
US,87,39,California,Pinot Noir
US,91,36,California,Chardonnay
US,90,90,California,Cabernet Sauvignon
US,86,28,California,Pinot Noir
Argentina,80,22,Mendoza Province,Cabernet Sauvignon
US,91,44,California,Pinot Noir
France,88,25,Burgundy,Chardonnay
US,87,18,New York,Rosé
Chile,86,23,Curicó and Maipo Valleys,Pinot Noir
US,91,110,California,Cabernet Sauvignon
US,85,22,California,Chardonnay
US,92,32,California,Pinot Noir
US,87,46,California,Pinot Noir
US,82,14,California,Pinot Noir
France,86,18,Provence,Rosé
US,95,65,Oregon,Pinot Noir
US,85,20,New York,Chardonnay
US,91,48,California,Pinot Noir
US,94,95,California,Pinot Noir
Argentina,84,13,Mendoza Province,Cabernet Sauvignon
France,91,66,Burgundy,Pinot Noir
US,83,11,California,Cabernet Sauvignon
Argentina,82,8,Mendoza Province,Cabernet Sauvignon
US,88,40,California,Pinot Noir
France,93,80,Burgundy,Chardonnay
US,93,65,California,Cabernet Sauvignon
France,87,25,Burgundy,Pinot Noir
US,92,50,California,Pinot Noir
France,92,28,Burgundy,Chardonnay
US,96,125,Washington,Cabernet Sauvignon
France,96,281,Burgundy,Pinot Noir
US,88,20,California,Cabernet Sauvignon
France,91,47,Burgundy,Chardonnay
US,90,80,California,Cabernet Sauvignon
US,85,20,California,Cabernet Sauvignon
US,89,25,California,Chardonnay
US,91,22,Oregon,Chardonnay
US,93,20,California,Chardonnay
US,86,19,California,Chardonnay
US,84,15,California,Chardonnay
US,88,38,California,Pinot Noir
Argentina,92,90,Mendoza Province,Cabernet Sauvignon
US,92,40,California,Chardonnay
France,85,24,Burgundy,Pinot Noir
US,90,70,Oregon,Pinot Noir
US,88,26,Washington,Rosé
France,87,35,Burgundy,Pinot Noir
France,88,20,Provence,Rosé
US,86,17,California,Chardonnay
US,88,30,California,Pinot Noir
US,90,45,Washington,Cabernet Sauvignon
US,86,35,Pennsylvania,Pinot Noir
Chile,84,8,Curicó Valley,Cabernet Sauvignon
France,85,18,Provence,Rosé
US,86,35,California,Chardonnay
US,91,150,Oregon,Pinot Noir
US,93,30,California,Pinot Noir
Chile,86,12,Casablanca Valley,Pinot Noir
US,93,65,California,Pinot Noir
France,95,42,Burgundy,Chardonnay
US,95,80,California,Pinot Noir
France,85,10,Bordeaux,Rosé
France,89,40,Burgundy,Pinot Noir
US,91,35,California,Pinot Noir
France,92,180,Burgundy,Pinot Noir
US,90,24,Oregon,Rosé
US,88,65,California,Pinot Noir
US,92,60,Oregon,Pinot Noir
US,94,49,California,Pinot Noir
Argentina,87,17,Other,Chardonnay
France,88,60,Burgundy,Chardonnay
US,95,175,California,Cabernet Sauvignon
US,92,125,California,Cabernet Sauvignon
US,89,15,California,Pinot Noir
US,93,44,California,Pinot Noir
US,86,24,California,Pinot Noir
US,87,45,California,Pinot Noir
France,89,79,Burgundy,Pinot Noir
Chile,83,12,Casablanca Valley,Chardonnay
US,92,39,California,Pinot Noir
US,90,45,California,Pinot Noir
US,85,38,California,Cabernet Sauvignon
US,86,35,Washington,Cabernet Sauvignon
US,89,18,California,Chardonnay
France,87,15,Rhône Valley,Rosé
US,89,35,California,Cabernet Sauvignon
US,89,45,Oregon,Pinot Noir
US,92,120,California,Pinot Noir
Argentina,82,8,Mendoza Province,Chardonnay
US,93,80,California,Cabernet Sauvignon
US,92,32,California,Pinot Noir
France,87,25,Burgundy,Chardonnay
US,93,50,California,Pinot Noir
US,92,44,California,Pinot Noir
US,90,40,California,Cabernet Sauvignon
US,88,36,California,Cabernet Sauvignon
US,87,24,California,Chardonnay
US,85,15,Washington,Rosé
France,87,25,Burgundy,Chardonnay
US,88,150,California,Cabernet Sauvignon
France,91,78,Burgundy,Pinot Noir
US,90,20,California,Rosé
France,93,80,Burgundy,Pinot Noir
US,90,16,Washington,Rosé
US,84,15,California,Chardonnay
US,87,8,California,Chardonnay
US,86,14,Washington,Rosé
US,94,48,California,Pinot Noir
US,91,70,California,Cabernet Sauvignon
US,83,9,Oregon,Pinot Noir
US,80,10,California,Cabernet Sauvignon
US,87,25,California,Pinot Noir
US,95,75,California,Cabernet Sauvignon
US,84,55,California,Cabernet Sauvignon
US,84,8,California,Pinot Noir
Argentina,85,17,Mendoza Province,Cabernet Sauvignon
US,86,50,Oregon,Pinot Noir
US,87,11,California,Chardonnay
US,93,72,California,Cabernet Sauvignon
US,88,12,Washington,Chardonnay
US,86,35,California,Chardonnay
US,89,24,California,Chardonnay
US,87,12,California,Chardonnay
US,92,38,California,Chardonnay
US,85,20,New York,Chardonnay
US,88,30,California,Pinot Noir
US,90,40,California,Pinot Noir
US,92,40,California,Pinot Noir
US,93,44,Washington,Cabernet Sauvignon
US,87,30,California,Cabernet Sauvignon
US,90,38,California,Cabernet Sauvignon
US,89,28,California,Cabernet Sauvignon
US,88,12,California,Chardonnay
US,89,45,California,Chardonnay
US,87,22,Oregon,Pinot Noir
US,85,42,California,Cabernet Sauvignon
US,84,12,California,Chardonnay
US,90,65,California,Pinot Noir
US,89,20,California,Chardonnay
US,91,49,California,Pinot Noir
US,93,65,California,Cabernet Sauvignon
France,86,11,Bordeaux,Rosé
US,93,78,California,Cabernet Sauvignon
US,85,45,California,Chardonnay
US,88,19,New York,Pinot Noir
France,96,630,Burgundy,Chardonnay
US,81,12,New York,Chardonnay
France,88,20,Alsace,Pinot Noir
US,85,17,California,Cabernet Sauvignon
US,94,40,California,Chardonnay
US,85,13,California,Cabernet Sauvignon
US,84,15,California,Chardonnay
Chile,84,12,Casablanca Valley,Pinot Noir
US,91,120,California,Cabernet Sauvignon
US,88,25,California,Pinot Noir
US,94,62,California,Pinot Noir
US,93,55,California,Pinot Noir
France,92,85,Burgundy,Pinot Noir
US,90,55,California,Cabernet Sauvignon
US,89,15,California,Pinot Noir
US,87,16,California,Pinot Noir
US,93,22,California,Rosé
US,91,45,Washington,Cabernet Sauvignon
US,85,10,New York,Rosé
US,93,42,California,Pinot Noir
US,89,28,Oregon,Pinot Noir
US,87,17,Oregon,Chardonnay
France,86,17,Burgundy,Chardonnay
US,87,60,California,Pinot Noir
US,93,69,California,Cabernet Sauvignon
US,82,32,California,Cabernet Sauvignon
US,90,35,California,Chardonnay
France,90,45,Burgundy,Pinot Noir
US,96,85,Oregon,Pinot Noir
France,86,14,Provence,Rosé
US,93,95,California,Cabernet Sauvignon
US,91,42,Oregon,Pinot Noir
US,87,32,California,Pinot Noir
Chile,86,20,Casablanca Valley,Chardonnay
US,88,70,California,Cabernet Sauvignon
US,84,39,California,Cabernet Sauvignon
US,93,25,California,Cabernet Sauvignon
US,89,24,Oregon,Pinot Noir
US,90,49,Oregon,Pinot Noir
US,85,11,California,Chardonnay
US,88,55,California,Cabernet Sauvignon
US,94,125,California,Cabernet Sauvignon
Argentina,83,8,Mendoza Province,Chardonnay
US,90,25,California,Chardonnay
US,89,17,California,Cabernet Sauvignon
US,90,22,Oregon,Pinot Noir
US,94,150,California,Cabernet Sauvignon
Chile,83,13,Limarí Valley,Pinot Noir
France,88,23,Burgundy,Pinot Noir
US,94,120,California,Pinot Noir
US,87,38,California,Chardonnay
US,88,68,Oregon,Pinot Noir
US,90,125,Oregon,Pinot Noir
France,85,9,Rhône Valley,Rosé
US,90,38,California,Pinot Noir
Chile,86,12,Maule Valley,Pinot Noir
Chile,88,10,Casablanca Valley,Chardonnay
France,88,13,Provence,Rosé
US,94,40,California,Pinot Noir
US,88,22,California,Rosé
US,91,35,California,Chardonnay
Italy,87,29,Tuscany,Rosé
US,90,19,California,Chardonnay
US,90,30,California,Rosé
US,91,42,Oregon,Pinot Noir
US,90,35,California,Chardonnay
US,94,45,California,Chardonnay
US,88,25,California,Pinot Noir
France,94,103,Burgundy,Chardonnay
US,93,50,California,Pinot Noir
US,88,18,California,Chardonnay
US,90,40,California,Pinot Noir
Chile,86,10,Maule Valley,Pinot Noir
US,90,42,California,Chardonnay
US,88,30,California,Cabernet Sauvignon
US,86,35,California,Pinot Noir
US,93,75,California,Cabernet Sauvignon
US,93,110,Washington,Cabernet Sauvignon
France,91,29,Provence,Rosé
US,89,34,California,Cabernet Sauvignon
US,87,15,Oregon,Chardonnay
France,89,24,Burgundy,Chardonnay
France,85,15,Bordeaux,Rosé
US,90,48,California,Pinot Noir
US,92,125,California,Cabernet Sauvignon
US,83,20,California,Cabernet Sauvignon
US,86,20,California,Cabernet Sauvignon
US,92,85,California,Pinot Noir
US,86,10,Washington,Chardonnay
US,86,15,New York,Chardonnay
US,92,30,California,Chardonnay
US,86,29,California,Chardonnay
US,91,75,Oregon,Pinot Noir
US,88,45,Washington,Cabernet Sauvignon
US,91,48,California,Chardonnay
US,85,14,California,Chardonnay
Argentina,86,11,Mendoza Province,Chardonnay
France,87,28,Provence,Rosé
US,87,35,New York,Rosé
US,85,44,California,Cabernet Sauvignon
US,85,20,California,Cabernet Sauvignon
US,87,30,Washington,Cabernet Sauvignon
France,89,14,Languedoc-Roussillon,Rosé
US,84,25,California,Chardonnay
US,90,85,Oregon,Pinot Noir
US,93,44,California,Pinot Noir
US,89,14,California,Cabernet Sauvignon
US,92,38,California,Pinot Noir
US,89,50,Oregon,Pinot Noir
Italy,89,16,Northeastern Italy,Chardonnay
Argentina,87,20,Mendoza Province,Cabernet Sauvignon
US,92,55,Washington,Cabernet Sauvignon
France,94,97,Burgundy,Pinot Noir
France,90,24,Rhône Valley,Rosé
US,90,60,California,Cabernet Sauvignon
US,92,23,California,Chardonnay
US,87,25,California,Pinot Noir
US,85,42,California,Pinot Noir
US,86,13,California,Chardonnay
US,94,60,California,Pinot Noir
US,94,45,California,Chardonnay
France,91,40,Burgundy,Chardonnay
US,92,40,California,Pinot Noir
US,85,30,California,Chardonnay
US,89,24,Washington,Rosé
US,85,55,California,Cabernet Sauvignon
France,90,29,Burgundy,Chardonnay
US,88,18,California,Cabernet Sauvignon
Argentina,83,16,Mendoza Province,Chardonnay
US,90,75,California,Pinot Noir
US,82,20,Washington,Pinot Noir
Chile,84,12,Maipo Valley,Cabernet Sauvignon
France,85,12,France Other,Rosé
US,96,100,California,Pinot Noir
US,92,95,Washington,Cabernet Sauvignon
US,82,11,California,Chardonnay
US,91,60,Oregon,Pinot Noir
US,92,45,California,Pinot Noir
US,92,46,California,Chardonnay
US,83,24,California,Rosé
US,89,50,Oregon,Pinot Noir
France,84,13,Loire Valley,Rosé
France,84,14,Southwest France,Chardonnay
US,88,43,California,Pinot Noir
US,89,19,California,Pinot Noir
US,93,20,California,Cabernet Sauvignon
France,86,15,Loire Valley,Chardonnay
US,89,35,California,Pinot Noir
Argentina,86,18,Mendoza Province,Pinot Noir
France,87,20,Provence,Rosé
US,87,54,Oregon,Pinot Noir
US,90,65,Washington,Cabernet Sauvignon
US,84,12,Washington,Cabernet Sauvignon
US,86,40,Oregon,Pinot Noir
US,92,22,California,Cabernet Sauvignon
US,91,17,Washington,Chardonnay
US,93,18,California,Pinot Noir
US,89,45,California,Pinot Noir
France,84,10,Provence,Rosé
US,90,85,Oregon,Pinot Noir
US,93,80,California,Cabernet Sauvignon
US,88,39,Oregon,Pinot Noir
US,87,25,Oregon,Pinot Noir
US,84,20,California,Cabernet Sauvignon
Chile,83,12,Casablanca Valley,Pinot Noir
France,86,13,Provence,Rosé
France,91,37,Champagne,Chardonnay
US,84,40,California,Chardonnay
US,92,35,California,Chardonnay
US,91,85,Washington,Cabernet Sauvignon
US,90,50,California,Pinot Noir
US,85,40,California,Cabernet Sauvignon
France,88,12,Bordeaux,Rosé
US,90,60,Oregon,Pinot Noir
France,92,35,Burgundy,Chardonnay
US,86,45,California,Pinot Noir
France,87,20,Burgundy,Pinot Noir
France,85,15,Provence,Rosé
France,87,23,Burgundy,Chardonnay
US,95,99,Oregon,Pinot Noir
US,93,45,California,Pinot Noir
France,86,10,France Other,Cabernet Sauvignon
US,88,64,California,Pinot Noir
US,87,25,California,Cabernet Sauvignon
US,86,25,California,Cabernet Sauvignon
US,94,60,California,Pinot Noir
France,85,10,France Other,Cabernet Sauvignon
US,90,35,California,Chardonnay
US,88,38,Oregon,Pinot Noir
France,91,60,Burgundy,Chardonnay
Italy,87,12,Tuscany,Chardonnay
US,92,35,California,Chardonnay
US,87,50,California,Chardonnay
US,95,44,California,Cabernet Sauvignon
US,89,65,California,Pinot Noir
US,87,29,Oregon,Pinot Noir
France,87,58,Burgundy,Chardonnay
US,92,38,Oregon,Pinot Noir
US,91,45,Oregon,Pinot Noir
US,93,40,California,Chardonnay
US,90,34,California,Cabernet Sauvignon
US,92,75,California,Cabernet Sauvignon
US,87,55,California,Pinot Noir
US,93,39,California,Cabernet Sauvignon
US,87,50,California,Pinot Noir
France,92,40,Burgundy,Chardonnay
